Case ID,JiraId,Tags,Primary tag,Case,Issue2 Incomplete procedure,Issue3 Role/cross-app,Issue4 Unclear Expected/screens,Other-issue count,Clean of issues 2-4,Agent category tag?,Steps chars,Step count,Expected chars,Has login wording,Has hover wording,CSV field count,Gold closeness,Depth % of gold median
278594,INV-2086,reports,reports,Verify that filtering by variance threshold returns only loads meeting that threshold and the URL contains no filter= pa,Y,N,N,1,N,N,108,4,148,N,N,1,20.6,2.9
27593,FD-33059,loadimportutility,loadimportutility,"Verify that the summary results of bulk load records are displayed correctly after submission using the ""load import"" fe",Y,Y,N,2,N,N,174,1,117,Y,N,0,20.5,4.7
27618,FD-33060,loadimportutility,loadimportutility,Verify that user receives an email which includes a hyperlink to a �My Bulk Loads (Changes & Imports)� report for Bulk l,Y,Y,N,2,N,N,195,1,109,Y,N,0,20.5,5.3
7789,FD-33272,sharereport,sharereport,Verify that agent not able to see the report if not shared with him/her,Y,N,N,1,N,N,176,1,35,N,Y,0,20.4,4.8
336324,FD-42912,"customersearch,officesearch",customersearch,Verify Office Form Commission Pct. boundary values and rejects invalid values,Y,Y,N,2,N,N,477,6,353,N,N,0,20.3,12.9
7740,FD-33271,search,search,Verify 'S' icon is removed from report in Saved Reports field when unshared,Y,N,N,1,N,N,705,1,68,N,N,0,19.9,19.1
171171,FD-35518,loadreports,loadreports,Verify combined filter functionality,Y,N,N,1,N,N,150,5,127,N,N,0,19.2,4.1
196366,FD-42920,payables,payables,Verify that the default toggle state hides Dispatch Office and combines rows,Y,Y,N,2,N,N,217,1,220,Y,N,0,19.2,5.9
366503,FD-35902,"customers,leads",customers,Verify Agent/Salesperson can successfully update status from CLEARED to COLD/DEADLEAD/ACTIVATE,Y,N,N,1,N,N,223,5,79,N,N,0,19.2,6.0
7739,FD-33271,search,search,Verify 'S' icon is displayed next to shared report in Saved Reports field,Y,N,N,1,N,N,567,2,65,N,N,0,19.2,15.3
366504,FD-35902,"customers,leads",customers,Verify existing ACTIVATE to ACTIVE status transition still works,Y,Y,N,2,N,N,318,4,145,N,N,0,19.1,8.6
261932,FD-36759,customerportal,customerportal,Submit quote with Convention Center,Y,N,N,1,N,N,108,2,13,Y,N,1,19.0,2.9
7861,FD-33040,search,search,Ensure that user gets navigated to the Bulk Change page displaying: 'Bulk Change: Step 2 - Select Changes’ after selecti,Y,Y,N,2,N,N,258,3,105,N,N,0,18.9,7.0
7931,FD-33677,customers,customers,"Created an agent with user role principal and validate user is able to toggle between both values from the ""Dispatch typ",Y,Y,N,2,N,N,199,4,101,Y,N,1,18.6,5.4
154732,FD-30697,carrierportal,carrierportal,Verify successful signup when reCAPTCHA is completed,Y,Y,N,2,N,Y,158,0,162,N,N,0,18.3,4.3
27519,FD-33300,loadreports,loadreports,Verify the Saved report visibility in 'Saved Reports' dropdown,Y,Y,N,2,N,N,151,0,82,Y,N,0,18.2,4.1
196367,FD-42920,payables,payables,Verify that toggle set to Yes shows Dispatch Office with split rows.,Y,N,N,1,N,N,188,1,153,Y,N,0,18.1,5.1
336325,FD-42912,"customersearch,officesearch",customersearch,Verify commission reports reflect the new .1 to .9 increment values correctly also show validations error for load defau,Y,Y,N,2,N,N,636,0,517,N,N,1,17.6,17.2
7945,FD-33672,payables,payables,"Verify that ""Operational Office"" filter is   updated to ""Dispatch Office"" filter in Office Commission Detail reports.",Y,N,N,1,N,N,175,4,113,N,N,0,17.6,4.7
7946,FD-33672,payables,payables,"Verify that ""Operational Office"" filter is   updated to ""Dispatch Office"" filter in  Office Commission Adjustment Detail",Y,N,N,1,N,N,185,3,123,N,N,0,17.4,5.0
7795,FD-33141,importlocations,importlocations,Ensure users without ADMIN and System Admin = YES cannot use the Bulk Import feature.,Y,Y,N,2,N,N,92,2,96,Y,N,0,17.0,2.5
154733,FD-30697,carrierportal,carrierportal,Verify signup is blocked when reCAPTCHA is not completed,Y,Y,N,2,N,Y,147,0,190,N,N,0,16.8,4.0
336258,FD-44489,homereports,homereports,"Verify that in the ""Load Summary By Salesperson"" Report Dispatch Region"" filter Column is added.",Y,Y,N,2,N,N,252,1,88,N,N,0,16.7,6.8
336260,FD-44489,homereports,homereports,"Verify that in the ""Load Summary By Account Manager"" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,256,1,85,N,N,0,16.7,6.9
7784,FD-33272,sharereport,sharereport,Verify Agent Listed as Group Member,Y,N,N,1,N,N,265,2,52,N,N,0,16.7,7.2
336264,FD-44489,homereports,homereports,"Verify that in the ""Load Summary By Dispatcher"" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,251,1,80,N,N,0,16.6,6.8
336266,FD-44489,homereports,homereports,"Verify that in the ""Customer Sales History Summary "" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,250,1,85,N,N,1,16.6,6.8
336268,FD-44489,homereports,homereports,"Verify that in the ""Load Detail for Salesperson"" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,253,1,81,N,N,0,16.6,6.8
336270,FD-44489,homereports,homereports,"Verify that in the ""Load Detail for Dispatcher"" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,252,1,80,N,N,0,16.6,6.8
336272,FD-44489,homereports,homereports,"Verify that in the ""Load Detail for Account Manager Dispatch Region"" Column is added.",Y,Y,N,2,N,N,256,1,77,N,N,0,16.6,6.9
336262,FD-44489,homereports,homereports,"Verify that in the ""Load Summary By Creator"" Report Dispatch Region"" Column is added.",Y,Y,N,2,N,N,248,1,77,N,N,0,16.5,6.7
86971,FD-38615,billingqueue,billingqueue,"Validate ""waiting_on_billing_count"" column increment in the database.",Y,N,N,1,N,N,182,3,206,Y,N,0,16.5,4.9
7759,FD-33010,receivables,receivables,Validate report data updates according to the selected offices.,Y,N,N,1,N,N,124,2,112,N,N,0,16.4,3.4
366487,FD-43011,"comchek,reports",comchek,Verify report executes successfully with a valid Created Date range,Y,N,N,1,N,N,128,3,64,N,N,0,16.2,3.5
7987,FD-33678,dispatchtype,dispatchtype,"Verify that when a user changes a central dispatch load’s status from Booked to Active, the dispatch office is set to th",Y,N,N,1,N,N,324,3,162,N,N,1,16.0,8.8
86970,FD-38615,billingqueue,billingqueue,"Validate ""agent_to_billing_toggle_date"" column update in the database.",Y,N,N,1,N,N,186,3,166,Y,N,0,16.0,5.0
25188,FD-33211,nmfc,nmfc,Verify that the user is able to search for NMFC codes on Create LTL Commodity,Y,N,N,1,N,N,411,0,46,N,N,2,15.7,11.1
25185,FD-33211,nmfc,nmfc,Verify that the user is able to search for NMFC codes using the LTL quote form in BTMS.,Y,N,N,1,N,N,400,0,46,N,N,2,15.6,10.8
25186,FD-33211,nmfc,nmfc,Verify that the user is able to search for NMFC codes on LTL Load form in BTMS.,Y,N,N,1,N,N,399,0,46,N,N,2,15.6,10.8
25187,FD-33211,nmfc,nmfc,Verify that the user is able to search for NMFC codes using the Final Mile quote in BTMS.,Y,N,N,1,N,N,402,0,46,N,N,1,15.6,10.9
25325,FD-32258,fileclaimlink,fileclaimlink,Submit the 'New Cargo Claim' form with valid data and verify success,Y,N,N,1,N,N,107,1,75,N,N,0,15.4,2.9
7988,FD-33678,dispatchtype,dispatchtype,"Verify that when a user changes a non-central dispatch load’s status from Booked to Active, the dispatch office is not s",Y,N,N,1,N,N,281,3,115,N,N,1,15.0,7.6
171363,CP-5766,customerportal,customerportal,Verify BOL (3rd Party) card visibility for allowlisted LTL users,Y,N,N,1,N,N,72,3,117,Y,N,2,14.5,1.9
366502,FD-35902,"customers,leads",customers,"Verify Agent/Salesperson sees ACTIVATE, COLD, DEADLEAD options when lead is in CLEARED status",Y,N,N,1,N,N,215,3,113,N,N,0,14.5,5.8
